Направление,Год 2019,Год 2020,Год 2021,Год 2022,Год 2023,Год 2024,Год 2025,,,Шансы поступить,,,Предметы
,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Прогнозируемый проходной балл,Кол-во договорных мест,Разброс,Высокие,Средние,Низкие,
38.03.02 — Менеджмент,126,153,148,136,127,131,135,150,27,162,149,149,"Профильная математика, Иностранный язык/Обществознание"
38.03.01 — Экономика,145,137,149,146,136,133,139,125,16,159,149,149,"Профильная математика, Иностранный язык/Обществознание"
40.03.01 — Юриспруденция,146,157,146,152,138,140,145,80,19,165,155,155,"Базовая математика, Обществознание, История/Иностранный язык"
41.03.04 — Политология,152,-,-,151,-,-,151,20,1,171,161,161,"Базовая математика, История, Обществознание/Иностранный язык"
09.03.03 — Прикладная информатика,-,-,-,165,134,154,150,20,31,181,166,166,"Профильная математика, Информатика"
38.03.03 — Управление персоналом,127,169,141,149,133,131,140,65,42,182,161,161,"Профильная математика, Иностранный язык/Обществознание"
38.03.05 — Бизнес-информатика,-,149,135,138,157,131,141,20,26,167,154,154,"Профильная математика, Информатика/Обществознание"
38.03.04 — Государственное и муниципальное управление,138,135,132,131,117,128,128,120,21,149,139,139,"Обществознание, Профильная математика/Иностранный язык"
